freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.349e+01,2.480e+01,2.046e+02,2.429e+02
1.5,2.427e+01,9.516e+01,1.567e+02,2.762e+02
3.1,2.139e+01,9.619e+01,5.982e+01,1.774e+02
4.6,2.220e+01,8.415e+01,4.036e+02,5.099e+02
6.2,2.430e+01,9.866e+01,1.311e+03,1.434e+03
7.7,2.668e+01,1.286e+02,2.062e+03,2.217e+03
9.3,2.351e+01,1.118e+02,2.748e+03,2.883e+03
10.8,2.468e+01,1.093e+02,3.772e+03,3.905e+03
12.4,2.431e+01,1.023e+02,5.091e+03,5.217e+03
13.9,2.519e+01,9.759e+01,6.523e+03,6.645e+03
15.5,2.532e+01,8.816e+01,8.201e+03,8.315e+03
17.0,2.503e+01,9.550e+01,1.045e+04,1.057e+04
18.6,3.812e+01,1.107e+02,1.296e+04,1.310e+04
20.1,9.212e+01,1.195e+02,1.540e+04,1.561e+04
21.7,9.690e+01,1.172e+02,1.774e+04,1.795e+04
23.2,5.220e+01,1.186e+02,2.153e+04,2.170e+04
24.8,3.405e+01,1.403e+02,2.607e+04,2.625e+04
26.3,3.468e+01,1.763e+02,3.224e+04,3.245e+04
27.9,3.705e+01,1.751e+02,3.751e+04,3.772e+04
29.4,4.741e+01,1.444e+02,3.896e+04,3.915e+04
31.0,9.642e+01,1.914e+02,4.147e+04,4.176e+04
32.5,2.051e+02,3.224e+02,4.612e+04,4.665e+04
34.1,3.784e+02,5.936e+02,5.781e+04,5.879e+04
35.6,5.229e+02,1.009e+03,7.302e+04,7.455e+04
37.2,6.141e+02,1.700e+03,9.481e+04,9.712e+04
38.7,9.720e+02,2.905e+03,1.246e+05,1.285e+05
40.3,2.373e+03,4.166e+03,1.555e+05,1.620e+05
41.8,5.786e+03,6.440e+03,1.995e+05,2.117e+05
43.4,1.007e+04,1.006e+04,2.685e+05,2.886e+05
44.9,1.296e+04,1.546e+04,3.817e+05,4.101e+05
46.5,1.782e+04,2.255e+04,4.259e+05,4.662e+05
48.0,2.417e+04,2.686e+04,3.677e+05,4.188e+05
49.6,2.547e+04,2.748e+04,3.046e+05,3.576e+05
51.1,2.087e+04,2.381e+04,2.452e+05,2.899e+05
52.7,1.382e+04,2.008e+04,2.081e+05,2.420e+05
54.2,1.340e+04,2.234e+04,1.986e+05,2.343e+05
55.8,1.214e+04,2.052e+04,1.634e+05,1.961e+05
57.3,8.055e+03,1.447e+04,1.200e+05,1.425e+05
58.9,4.875e+03,9.743e+03,9.109e+04,1.057e+05
60.4,3.349e+03,7.767e+03,7.577e+04,8.689e+04
62.0,2.365e+03,5.872e+03,6.551e+04,7.375e+04
63.5,2.027e+03,4.272e+03,5.978e+04,6.608e+04
65.1,2.121e+03,3.813e+03,5.821e+04,6.414e+04
66.6,2.045e+03,3.467e+03,5.615e+04,6.166e+04
68.2,2.550e+03,4.202e+03,5.232e+04,5.907e+04
69.7,3.753e+03,6.468e+03,5.280e+04,6.302e+04
71.3,5.000e+03,9.522e+03,5.393e+04,6.845e+04
72.8,5.753e+03,1.150e+04,5.566e+04,7.291e+04
74.4,6.237e+03,1.274e+04,5.469e+04,7.367e+04
75.9,6.539e+03,1.392e+04,5.412e+04,7.458e+04
77.5,6.253e+03,1.378e+04,5.254e+04,7.258e+04
79.0,5.930e+03,1.320e+04,4.964e+04,6.877e+04
80.6,5.818e+03,1.266e+04,4.713e+04,6.561e+04
82.1,5.836e+03,1.320e+04,4.585e+04,6.488e+04
83.7,5.831e+03,1.422e+04,4.529e+04,6.534e+04
85.2,4.948e+03,1.210e+04,4.534e+04,6.239e+04
86.8,3.379e+03,1.029e+04,4.298e+04,5.665e+04
88.3,3.000e+03,1.148e+04,4.062e+04,5.509e+04
89.9,2.991e+03,1.277e+04,3.834e+04,5.410e+04
91.4,3.163e+03,1.377e+04,3.593e+04,5.287e+04
93.0,3.328e+03,1.338e+04,3.362e+04,5.032e+04
94.5,3.022e+03,1.241e+04,3.039e+04,4.582e+04
96.1,2.457e+03,1.093e+04,2.499e+04,3.838e+04
97.6,2.380e+03,1.092e+04,1.819e+04,3.149e+04
99.2,2.717e+03,1.190e+04,1.426e+04,2.888e+04
100.7,3.441e+03,1.547e+04,1.358e+04,3.249e+04
102.3,4.815e+03,2.302e+04,1.365e+04,4.148e+04
103.8,5.597e+03,2.281e+04,1.293e+04,4.134e+04
105.4,5.292e+03,1.994e+04,1.230e+04,3.753e+04
106.9,5.360e+03,2.106e+04,1.368e+04,4.010e+04
108.5,5.981e+03,2.515e+04,1.451e+04,4.565e+04
110.0,6.596e+03,2.679e+04,1.396e+04,4.735e+04
111.6,7.175e+03,2.721e+04,1.374e+04,4.813e+04
113.1,8.135e+03,2.942e+04,1.369e+04,5.124e+04
114.7,8.363e+03,2.898e+04,1.206e+04,4.940e+04
116.2,8.544e+03,2.688e+04,1.087e+04,4.630e+04
117.8,9.189e+03,2.574e+04,1.042e+04,4.535e+04
119.3,9.525e+03,2.526e+04,9.925e+03,4.471e+04
120.9,9.484e+03,2.591e+04,9.643e+03,4.504e+04
122.4,9.192e+03,2.842e+04,9.678e+03,4.729e+04
124.0,9.175e+03,3.072e+04,9.763e+03,4.966e+04
125.5,8.975e+03,3.090e+04,9.751e+03,4.963e+04
127.1,8.426e+03,3.643e+04,1.030e+04,5.516e+04
128.6,7.459e+03,4.283e+04,9.859e+03,6.014e+04
130.2,6.879e+03,4.657e+04,8.294e+03,6.174e+04
131.7,6.994e+03,4.671e+04,7.390e+03,6.109e+04
133.3,5.372e+03,2.755e+04,7.334e+03,4.025e+04
134.8,5.025e+03,1.966e+04,9.819e+03,3.450e+04
136.4,6.814e+03,2.607e+04,1.533e+04,4.822e+04
137.9,8.684e+03,2.833e+04,2.118e+04,5.820e+04
139.5,1.052e+04,2.837e+04,2.757e+04,6.647e+04
141.0,1.331e+04,2.998e+04,3.770e+04,8.100e+04
142.6,1.581e+04,2.824e+04,4.575e+04,8.980e+04
144.1,1.726e+04,2.544e+04,5.264e+04,9.534e+04
145.7,1.904e+04,2.451e+04,6.026e+04,1.038e+05
147.2,1.976e+04,2.087e+04,6.498e+04,1.056e+05
148.8,1.808e+04,1.400e+04,6.166e+04,9.374e+04
150.3,1.511e+04,7.993e+03,5.384e+04,7.694e+04
151.9,1.311e+04,5.481e+03,4.662e+04,6.521e+04
153.4,1.124e+04,4.120e+03,3.986e+04,5.522e+04
155.0,8.988e+03,3.237e+03,3.159e+04,4.381e+04
156.5,7.203e+03,2.742e+03,2.368e+04,3.362e+04
158.1,6.632e+03,2.405e+03,2.115e+04,3.019e+04
159.6,7.635e+03,2.364e+03,2.513e+04,3.513e+04
161.2,7.656e+03,2.318e+03,2.637e+04,3.634e+04
162.7,6.172e+03,2.637e+03,2.000e+04,2.881e+04
164.3,4.420e+03,2.616e+03,1.253e+04,1.957e+04
165.8,3.709e+03,2.540e+03,9.473e+03,1.572e+04
167.4,4.100e+03,2.651e+03,1.006e+04,1.681e+04
168.9,5.474e+03,3.182e+03,1.384e+04,2.250e+04
170.5,7.905e+03,4.129e+03,2.055e+04,3.258e+04
172.0,1.057e+04,4.952e+03,2.930e+04,4.482e+04
173.6,1.152e+04,5.179e+03,3.313e+04,4.983e+04
175.1,1.061e+04,5.040e+03,3.032e+04,4.597e+04
176.7,9.695e+03,4.807e+03,2.760e+04,4.210e+04
178.2,1.005e+04,5.360e+03,2.803e+04,4.344e+04
179.8,1.154e+04,6.295e+03,3.174e+04,4.958e+04
181.3,1.287e+04,6.914e+03,3.508e+04,5.486e+04
182.9,1.418e+04,7.309e+03,3.720e+04,5.869e+04
184.4,1.338e+04,6.421e+03,3.572e+04,5.552e+04
186.0,1.262e+04,6.260e+03,3.401e+04,5.289e+04
187.5,1.262e+04,6.128e+03,3.425e+04,5.299e+04
189.1,1.210e+04,5.543e+03,3.354e+04,5.118e+04
190.6,1.066e+04,4.446e+03,3.072e+04,4.583e+04
192.2,8.979e+03,3.317e+03,2.693e+04,3.922e+04
193.7,8.727e+03,3.267e+03,2.745e+04,3.945e+04
195.3,8.888e+03,3.419e+03,2.919e+04,4.150e+04
196.8,8.550e+03,3.256e+03,2.749e+04,3.929e+04
198.4,8.198e+03,3.120e+03,2.590e+04,3.722e+04
199.9,7.761e+03,2.722e+03,2.579e+04,3.627e+04
