freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.669e+01,3.021e+02,1.047e+01,3.392e+02
1.5,3.971e+01,1.850e+02,4.405e+01,2.688e+02
3.1,3.192e+01,3.578e+01,5.262e+01,1.203e+02
4.6,3.037e+01,3.707e+02,5.464e+01,4.557e+02
6.2,3.046e+01,1.283e+03,5.342e+01,1.366e+03
7.7,3.109e+01,2.139e+03,4.844e+01,2.218e+03
9.3,2.953e+01,3.069e+03,4.889e+01,3.147e+03
10.8,3.100e+01,4.457e+03,5.360e+01,4.541e+03
12.4,2.867e+01,6.688e+03,5.075e+01,6.768e+03
13.9,2.810e+01,9.530e+03,5.393e+01,9.612e+03
15.5,3.615e+01,1.265e+04,5.960e+01,1.274e+04
17.0,7.501e+01,1.458e+04,6.625e+01,1.472e+04
18.6,8.669e+01,1.627e+04,8.668e+01,1.644e+04
20.1,7.265e+01,2.108e+04,1.192e+02,2.127e+04
21.7,7.376e+01,2.665e+04,7.909e+01,2.680e+04
23.2,7.339e+01,3.326e+04,5.433e+01,3.338e+04
24.8,5.899e+01,4.409e+04,5.410e+01,4.420e+04
26.3,7.482e+01,5.861e+04,7.042e+01,5.875e+04
27.8,1.506e+02,7.906e+04,1.459e+02,7.936e+04
29.4,2.367e+02,1.115e+05,2.687e+02,1.120e+05
30.9,3.033e+02,1.512e+05,6.105e+02,1.521e+05
32.5,4.972e+02,2.164e+05,9.635e+02,2.179e+05
34.0,8.711e+02,3.105e+05,1.198e+03,3.126e+05
35.6,1.779e+03,3.770e+05,1.326e+03,3.801e+05
37.1,2.297e+03,4.040e+05,1.084e+03,4.074e+05
38.7,3.083e+03,4.380e+05,1.274e+03,4.424e+05
40.2,3.898e+03,4.514e+05,1.367e+03,4.567e+05
41.8,4.421e+03,3.758e+05,9.996e+02,3.812e+05
43.3,5.890e+03,2.748e+05,8.604e+02,2.815e+05
44.9,6.893e+03,1.952e+05,7.467e+02,2.028e+05
46.4,9.074e+03,1.538e+05,6.016e+02,1.635e+05
48.0,1.407e+04,1.271e+05,4.267e+02,1.416e+05
49.5,2.142e+04,1.011e+05,2.327e+02,1.228e+05
51.1,3.081e+04,7.578e+04,2.089e+02,1.068e+05
52.6,3.622e+04,5.410e+04,1.944e+02,9.052e+04
54.1,3.432e+04,3.535e+04,1.517e+02,6.983e+04
55.7,3.064e+04,1.979e+04,1.548e+02,5.059e+04
57.2,3.501e+04,1.070e+04,2.469e+02,4.595e+04
58.8,4.259e+04,8.134e+03,2.918e+02,5.102e+04
60.3,4.982e+04,1.323e+04,5.232e+02,6.357e+04
61.9,5.747e+04,2.954e+04,1.290e+03,8.830e+04
63.4,6.053e+04,5.445e+04,3.114e+03,1.181e+05
65.0,5.670e+04,7.337e+04,4.887e+03,1.350e+05
66.5,4.841e+04,7.391e+04,3.752e+03,1.261e+05
68.1,4.083e+04,6.536e+04,3.096e+03,1.093e+05
69.6,3.878e+04,5.864e+04,3.566e+03,1.010e+05
71.2,4.050e+04,5.613e+04,3.554e+03,1.002e+05
72.7,3.921e+04,5.277e+04,3.354e+03,9.533e+04
74.3,3.741e+04,5.233e+04,2.973e+03,9.271e+04
75.8,3.989e+04,6.038e+04,2.911e+03,1.032e+05
77.4,4.003e+04,6.536e+04,2.782e+03,1.082e+05
78.9,3.747e+04,6.326e+04,2.176e+03,1.029e+05
80.4,4.155e+04,7.093e+04,1.193e+03,1.137e+05
82.0,3.731e+04,6.549e+04,5.762e+02,1.034e+05
83.5,2.998e+04,5.420e+04,4.735e+02,8.465e+04
85.1,2.434e+04,4.720e+04,4.826e+02,7.203e+04
86.6,1.841e+04,4.357e+04,5.985e+02,6.258e+04
88.2,1.217e+04,4.406e+04,7.353e+02,5.697e+04
89.7,7.529e+03,4.803e+04,8.820e+02,5.644e+04
91.3,4.511e+03,5.138e+04,1.072e+03,5.696e+04
92.8,2.832e+03,4.732e+04,1.118e+03,5.127e+04
94.4,2.200e+03,4.456e+04,1.157e+03,4.792e+04
95.9,2.319e+03,4.599e+04,1.100e+03,4.941e+04
97.5,2.570e+03,5.241e+04,8.732e+02,5.586e+04
99.0,3.915e+03,6.085e+04,1.285e+03,6.605e+04
100.6,7.716e+03,6.673e+04,2.931e+03,7.737e+04
102.1,1.366e+04,7.109e+04,4.414e+03,8.916e+04
103.6,1.861e+04,7.248e+04,3.985e+03,9.507e+04
105.2,1.958e+04,6.638e+04,2.507e+03,8.847e+04
106.7,1.941e+04,6.006e+04,1.541e+03,8.101e+04
108.3,1.853e+04,5.346e+04,1.388e+03,7.338e+04
109.8,1.737e+04,4.658e+04,1.401e+03,6.535e+04
111.4,1.584e+04,4.155e+04,1.334e+03,5.872e+04
112.9,1.446e+04,3.868e+04,1.439e+03,5.458e+04
114.5,1.333e+04,3.611e+04,1.578e+03,5.102e+04
116.0,1.205e+04,3.429e+04,1.725e+03,4.806e+04
117.6,1.173e+04,3.396e+04,2.024e+03,4.771e+04
119.1,1.229e+04,3.382e+04,2.273e+03,4.839e+04
120.7,1.248e+04,3.277e+04,2.397e+03,4.764e+04
122.2,1.268e+04,3.286e+04,2.760e+03,4.830e+04
123.8,1.258e+04,3.561e+04,2.982e+03,5.118e+04
125.3,1.185e+04,3.973e+04,2.919e+03,5.450e+04
126.9,1.066e+04,4.744e+04,2.687e+03,6.079e+04
128.4,9.687e+03,5.860e+04,2.453e+03,7.074e+04
129.9,1.049e+04,6.766e+04,2.111e+03,8.026e+04
131.5,1.033e+04,6.709e+04,1.948e+03,7.937e+04
133.0,5.751e+03,3.862e+04,1.121e+03,4.549e+04
134.6,7.735e+02,4.973e+03,2.201e+02,5.966e+03
136.1,2.639e+02,1.453e+03,1.719e+02,1.889e+03
137.7,2.133e+02,1.095e+03,1.767e+02,1.485e+03
139.2,1.536e+02,7.599e+02,1.757e+02,1.089e+03
140.8,1.171e+02,5.840e+02,1.853e+02,8.865e+02
142.3,1.022e+02,4.756e+02,2.040e+02,7.819e+02
143.9,1.020e+02,4.140e+02,1.991e+02,7.151e+02
145.4,9.499e+01,3.262e+02,1.588e+02,5.800e+02
147.0,7.858e+01,3.253e+02,1.621e+02,5.660e+02
148.5,6.832e+01,2.773e+02,1.286e+02,4.742e+02
150.1,8.145e+01,2.382e+02,9.520e+01,4.148e+02
151.6,1.013e+02,2.940e+02,1.114e+02,5.068e+02
153.2,1.513e+02,4.712e+02,1.482e+02,7.706e+02
154.7,1.936e+02,1.154e+03,2.659e+02,1.614e+03
156.2,2.100e+02,2.228e+03,4.149e+02,2.853e+03
157.8,2.670e+02,3.317e+03,5.426e+02,4.127e+03
159.3,3.477e+02,3.880e+03,5.793e+02,4.807e+03
160.9,4.098e+02,1.913e+03,2.599e+02,2.583e+03
162.4,4.665e+02,8.789e+02,1.874e+02,1.533e+03
164.0,5.168e+02,5.877e+02,1.649e+02,1.269e+03
165.5,5.224e+02,5.504e+02,1.454e+02,1.218e+03
167.1,5.079e+02,5.550e+02,1.114e+02,1.174e+03
168.6,4.831e+02,6.382e+02,9.722e+01,1.218e+03
170.2,4.849e+02,1.066e+03,9.526e+01,1.646e+03
171.7,4.969e+02,2.207e+03,1.074e+02,2.811e+03
173.3,5.212e+02,3.375e+03,1.396e+02,4.036e+03
174.8,4.881e+02,3.418e+03,1.569e+02,4.063e+03
176.4,3.969e+02,2.899e+03,1.538e+02,3.449e+03
177.9,2.989e+02,2.132e+03,1.420e+02,2.573e+03
179.5,2.153e+02,1.536e+03,1.349e+02,1.886e+03
181.0,1.190e+02,1.282e+03,1.077e+02,1.509e+03
182.5,1.127e+02,1.193e+03,1.011e+02,1.407e+03
184.1,1.259e+02,1.029e+03,1.030e+02,1.258e+03
185.6,1.092e+02,9.505e+02,9.397e+01,1.154e+03
187.2,9.122e+01,9.154e+02,8.982e+01,1.096e+03
188.7,9.457e+01,8.495e+02,8.795e+01,1.032e+03
190.3,1.021e+02,8.947e+02,8.814e+01,1.085e+03
191.8,1.094e+02,9.580e+02,9.450e+01,1.162e+03
193.4,1.120e+02,9.973e+02,9.528e+01,1.205e+03
194.9,1.054e+02,1.053e+03,1.121e+02,1.271e+03
196.5,8.968e+01,9.314e+02,1.079e+02,1.129e+03
198.0,8.310e+01,8.923e+02,1.074e+02,1.083e+03
199.6,8.553e+01,9.911e+02,1.175e+02,1.194e+03
